,Organization Group,Department,Job Family,Job,Salary,Overtime,Benefits,Total Compensation
30718,Community Health,Public Health,Human Services,Hospital Eligibility Worker,15746.0,230.0,1240.0,17216.0
26940,Community Health,Public Health,"Payroll, Billing & Accounting",Accountant III,111816.0,0.0,46250.0,158066.0
26746,Community Health,Public Health,Information Systems,IS Business Analyst-Principal,106571.0,0.0,17000.0,123570.0
22031,"Public Works, Transportation & Commerce",Public Utilities Commission,Supervisory-Labor & Trade,Sewer Repair Supervisor,145342.0,10646.0,49299.0,205287.0
9420,"Public Works, Transportation & Commerce",Airport Commission,Management,Manager IV,152315.0,0.0,58910.0,211225.0
20723,"Public Works, Transportation & Commerce",Public Utilities Commission,Professional Engineering,Assistant Engineer,115032.0,0.0,46844.0,161876.0
8384,"Public Works, Transportation & Commerce",Airport Commission,Journeyman Trade,Painter,85245.0,5999.0,38456.0,129701.0
1337,Public Protection,Dept of Emergency Management,Protection & Apprehension,Public SafetyComm Disp,108242.0,7484.0,45703.0,161429.0
21337,"Public Works, Transportation & Commerce",Public Utilities Commission,Supervisory-Labor & Trade,Utility Plumber Supervisor 1,136322.0,1683.0,56035.0,194040.0
879,Public Protection,District Attorney,Legal & Court,Attorney (Civil/Criminal),187479.0,0.0,64663.0,252142.0
89,Public Protection,Adult Probation,Probation & Parole,Deputy Probation Officer SFERS,62173.0,410.0,31368.0,93951.0
34218,Community Health,Public Health,Nursing,Registered Nurse,77271.0,6549.0,26432.0,110252.0
16341,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,81331.0,15651.0,39805.0,136787.0
4989,Public Protection,Police,Police Services,Police Officer,90417.0,14202.0,36122.0,140741.0
31602,Community Health,Public Health,Hospital Administration,Medical Record Technician,79737.0,616.0,36915.0,117268.0
15863,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,88898.0,6806.0,41125.0,136829.0
4194,Public Protection,Police,"Clerical, Secretarial & Steno",Senior Clerk,62691.0,51.0,33800.0,96541.0
21816,"Public Works, Transportation & Commerce",Public Utilities Commission,Journeyman Trade,"Sr. Stationary Eng, Sew Plant",121490.0,8357.0,51110.0,180957.0
14932,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Skilled Labor,Automotive Service Worker,28467.0,3037.0,13251.0,44754.0
28729,Community Health,Public Health,Nursing,Patient Care Assistant,30171.0,9292.0,18357.0,57819.0
6311,Public Protection,Police,Police Services,Police Officer 3,132892.0,19825.0,43236.0,195954.0
25994,Human Welfare & Neighborhood Development,Human Services,"Budget, Admn & Stats Analysis",Management Assistant,89430.0,0.0,39577.0,129007.0
20468,"Public Works, Transportation & Commerce",Public Utilities Commission,"Payroll, Billing & Accounting",Accountant IV,44440.0,0.0,3449.0,47889.0
13456,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,"Payroll, Billing & Accounting",Accountant IV,138530.0,0.0,52290.0,190820.0
37801,Culture & Recreation,Public Library,Library,Librarian 2,104624.0,0.0,43642.0,148266.0
11157,"Public Works, Transportation & Commerce",Department Of Public Works,Professional Engineering,Chief Surveyor,46458.0,0.0,3606.0,50064.0
30706,Community Health,Public Health,Human Services,Hospital Eligibility Worker,72749.0,4994.0,34329.0,112073.0
797,Public Protection,District Attorney,Legal & Court,Attorney (Civil/Criminal),215684.0,0.0,71159.0,286843.0
1455,Public Protection,Dept of Police Accountablility,Legal & Court,Attorney (Civil/Criminal),212984.0,0.0,70014.0,282998.0
4032,Public Protection,Police,Purchasing & Storekeeping,Asst Materials Coordinator,110645.0,375.0,45651.0,156671.0
6364,Public Protection,Police,Police Services,Police Officer 3,145511.0,58524.0,49554.0,253589.0
15446,"Public Works, Transportation & Commerce",Municipal Transportation Agcy,Street Transit,Transit Operator,43905.0,14551.0,20870.0,79326.0
11311,"Public Works, Transportation & Commerce",Department Of Public Works,Sub-Professional Engineering,Survey Associate,106492.0,4175.0,45047.0,155713.0
40438,Culture & Recreation,War Memorial,Protection & Apprehension,Bldg & Grounds Patrol Officer,26071.0,0.0,1976.0,28047.0
5526,Public Protection,Police,Police Services,Police Officer 2,108774.0,10168.0,38065.0,157007.0
23258,Human Welfare & Neighborhood Development,Human Rights Commission,Human Services,"Rep, Human Rights Comm",75641.0,0.0,30986.0,106627.0
8337,Public Protection,Sheriff,Correction & Detention,Sheriff's Cadet,52593.0,15591.0,30673.0,98856.0
11797,"Public Works, Transportation & Commerce",Department Of Public Works,Agriculture & Horticulture,Gardener,60213.0,9228.0,28866.0,98306.0
1689,Public Protection,Fire Department,Fire Services,Firefighter,150728.0,124.0,48534.0,199386.0
1642,Public Protection,Fire Department,Fire Services,Firefighter,147276.0,11704.0,47820.0,206799.0
2325,Public Protection,Fire Department,Fire Services,Firefighter,88800.0,7276.0,36945.0,133021.0
37175,Culture & Recreation,Public Library,Library,Library Page,25279.0,0.0,7985.0,33264.0
24941,Human Welfare & Neighborhood Development,Human Services,Human Services,Program Support Analyst,118098.0,0.0,47946.0,166044.0
2237,Public Protection,Fire Department,Fire Services,Firefighter,149944.0,9816.0,48313.0,208074.0
2929,Public Protection,Fire Department,Fire Services,"Insp, Fire Dept",157837.0,37682.0,47934.0,243454.0
10075,"Public Works, Transportation & Commerce",Airport Commission,Housekeeping & Laundry,Custodian,27799.0,985.0,15538.0,44321.0
30643,Community Health,Public Health,Human Services,Hospital Eligibility Worker,36114.0,30156.0,20328.0,86598.0
38676,Culture & Recreation,Recreation And Park Commission,Housekeeping & Laundry,Custodian,23154.0,1704.0,13866.0,38724.0
