Episode,Episode Score,Running Average
1,630.0,630.0
2,310.0,470.0
3,930.0,623.3333333333334
4,880.0,687.5
5,160.0,582.0
6,630.0,590.0
7,830.0,624.2857142857143
8,1130.0,687.5
9,1080.0,731.1111111111111
10,880.0,746.0
11,680.0,740.0
12,730.0,739.1666666666666
13,730.0,738.4615384615385
14,430.0,716.4285714285714
15,980.0,734.0
16,780.0,736.875
17,580.0,727.6470588235294
18,730.0,727.7777777777778
19,480.0,714.7368421052631
20,1080.0,733.0
21,1350.0,762.3809523809524
22,380.0,745.0
23,980.0,755.2173913043479
24,1180.0,772.9166666666666
25,630.0,767.2
26,730.0,765.7692307692307
27,580.0,758.8888888888889
28,980.0,766.7857142857143
29,560.0,759.6551724137931
30,1130.0,772.0
31,1080.0,781.9354838709677
32,380.0,769.375
33,980.0,775.7575757575758
34,830.0,777.3529411764706
35,1180.0,788.8571428571429
36,780.0,788.6111111111111
37,980.0,793.7837837837837
38,680.0,790.7894736842105
39,1180.0,800.7692307692307
40,1180.0,810.25
41,380.0,799.7560975609756
42,780.0,799.2857142857143
43,980.0,803.4883720930233
44,980.0,807.5
45,430.0,799.1111111111111
46,830.0,799.7826086956521
47,830.0,800.4255319148937
48,980.0,804.1666666666666
49,980.0,807.7551020408164
50,780.0,807.2
51,1030.0,811.5686274509804
52,1180.0,818.6538461538462
53,980.0,821.6981132075472
54,1030.0,825.5555555555555
55,830.0,825.6363636363636
56,780.0,824.8214285714286
57,780.0,824.0350877192982
58,610.0,820.3448275862069
59,980.0,823.0508474576271
60,1180.0,829.0
61,980.0,831.4754098360655
62,830.0,831.4516129032259
63,580.0,827.4603174603175
64,880.0,828.28125
65,380.0,821.3846153846154
66,530.0,816.969696969697
67,1180.0,822.3880597014926
68,530.0,818.0882352941177
69,630.0,815.3623188405797
70,280.0,807.7142857142857
71,430.0,802.3943661971831
72,780.0,802.0833333333334
73,1180.0,807.2602739726027
74,630.0,804.8648648648649
75,1080.0,808.5333333333333
76,380.0,802.8947368421053
77,1180.0,807.7922077922078
78,680.0,806.1538461538462
79,880.0,807.0886075949367
80,1080.0,810.5
81,1080.0,813.8271604938271
82,280.0,807.3170731707318
83,1080.0,810.6024096385543
84,530.0,807.2619047619048
85,1180.0,811.6470588235294
86,380.0,806.6279069767442
87,980.0,808.6206896551724
88,730.0,807.7272727272727
89,880.0,808.5393258426966
90,1080.0,811.5555555555555
91,730.0,810.6593406593406
92,610.0,808.4782608695652
93,880.0,809.247311827957
94,1280.0,814.2553191489362
95,880.0,814.9473684210526
96,830.0,815.1041666666666
97,580.0,812.680412371134
98,430.0,808.7755102040817
99,280.0,803.4343434343434
100,830.0,803.7
